"NOME_MUNICIPIO","UF","POP_TOT","POP_URB","TOT_COLETADO","REALIZA_COLETA","POP_ATENDIDA","TOT_RECUPERADO","PAPEL","PLASTICO","METAIS","VIDROS","OUTROS"
"Novo Horizonte","BA","12,241.00","4,020.00","","Não","","","","","","",""
"Novo Horizonte","SC","2,481.00","831.00","","Não","","","","","","",""
"Novo Horizonte","SP","40,680.00","37,851.00","388.80","Sim","37,851.00","300.00","","","","",""
"Novo Horizonte do Norte","MT","3,985.00","1,889.00","","Não","","","","","","",""
"Novo Horizonte do Oeste","RO","8,751.00","1,481.00","","Não","","","","","","",""
"Novo Horizonte do Sul","MS","3,947.00","2,125.00","130.00","Sim","","120.00","40.00","35.00","45.00","0.00","0.00"
"Novo Itacolomi","PR","2,848.00","1,600.00","","Não","","","","","","",""
"Novo Jardim","TO","2,698.00","1,950.00","","Não","","","","","","",""
"Novo Lino","AL","12,615.00","7,665.00","","Não","","","","","","",""
"Novo Machado","RS","3,394.00","1,343.00","","Não","","","","","","",""
"Novo Oriente","CE","28,557.00","14,802.00","180.00","Sim","7,000.00","177.00","","","","",""
"Novo Repartimento","PA","74,602.00","33,604.00","","Não","","12.00","12.00","0.00","0.00","0.00","0.00"
"Novorizonte","MG","5,273.00","1,824.00","","Não","","","","","","",""
"Novo São Joaquim","MT","5,199.00","3,198.00","","Não","","","","","","",""
"Novo Tiradentes","RS","2,223.00","638.00","154.50","Sim","638.00","23.20","","","","",""
"Novo Triunfo","BA","15,380.00","7,667.00","","Não","","","","","","",""
"Novo Xingu","RS","1,727.00","545.00","","Não","","10.00","","","","",""
"Nuporanga","SP","7,386.00","6,701.00","","Não","","","","","","",""
"Óbidos","PA","51,964.00","26,824.00","","Não","","","","","","",""
"Ocara","CE","25,557.00","8,096.00","","Não","","","","","","",""
"Ocauçu","SP","4,287.00","3,423.00","2000.00","Sim","3,404.00","1,000.00","","","","",""
"Oeiras","PI","36,971.00","22,818.00","","Não","","","","","","",""
"Oiapoque","AP","26,627.00","17,984.00","","Não","","","","","","",""
"Olaria","MG","1,775.00","824.00","","Não","","","","","","",""
"Óleo","SP","2,522.00","1,663.00","96.00","Sim","1,660.00","1.80","","","","",""
"Olho d Água","PB","6,592.00","3,679.00","","Não","","","","","","",""
"Olho d Água das Flores","AL","21,437.00","14,726.00","","Não","","","","","","",""
